"LOCTN
TYPE","LOCATION
NAME","LCTN
PRTY","LOCATION
MONITOR","STANDARD
ACTION","ACTION
DETAILS","ACTION
STATUS",FREQ,"ACTN
PRTY","PRIMARY
AGENT","ADDITIONAL
AGENTS",YEAR,RESULT,"RESULT
DETAILS",
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Apply ecological burning,Undertaken autumn mosaic ecological burns throughout Blacks Creek NCR. Rotate burns through any one area no more than once every three years.,One-off: to do,One-off event,H,Parks Victoria,,2011/2012,COMPLETED,"Parks Victoria is currently preparing the eastern block of the reserve for burning when conditions are suitable. Parks Victoria staff are liaising with DSE staff to minimise impact of burn operations on Striped Legless Lizard habitat.

The ecological burn at Black Creek (east block) was successfully completed by Parks Victoria on 2nd May 2012.",
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Apply ecological burning,Undertaken autumn mosaic ecological burns throughout Blacks Creek NCR. Rotate burns through any one area no more than once every three years.,Ongoing,"Every year, or more freq.",H,Parks Victoria,,2012/2013,NOT NEEDED,Ecological burns were not required in 2012/2013 as a large part of the reserve burnt as part of an ecological burn in 2011/2012.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Apply ecological burning,Undertaken autumn mosaic ecological burns throughout Blacks Creek NCR. Rotate burns through any one area no more than once every three years.,Ongoing,"Every year, or more freq.",H,Parks Victoria,,2013/2014,NOT ENTERED,No Description Recorded,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Apply ecological burning,Undertaken autumn mosaic ecological burns throughout Blacks Creek NCR. Rotate burns through any one area no more than once every three years.,Ongoing,"Every year, or more freq.",H,Parks Victoria,,2014/2015,NOT ENTERED,No Description Recorded,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Apply ecological burning,Undertaken autumn mosaic ecological burns throughout Blacks Creek NCR. Rotate burns through any one area no more than once every three years.,Ongoing,"Every year, or more freq.",H,Parks Victoria,,2015/2016,NOT ENTERED,No Description Recorded,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat.,Ongoing,"Every year, or more freq.",H,DSE South West Region,Parks Victoria,2005/2006,PARTIALLY COMPLETED,Currently being undertaken in ABC.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat.,Ongoing,"Every year, or more freq.",H,DSE South West Region,Parks Victoria,2006/2007,NOT DONE,No Description Recorded,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,As needed,H,DSE South West Region,Parks Victoria,2007/2008,COMPLETED,Stockyard Hill Windfarm is proposed for the property north of Blacks Creek and hence will impact on the local D. impar population. Discussions have been held with the windfarm proponent and project consultant regarding mitigations measures that will have to be implemented during construction. ,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,As needed,H,DSE South West Region,Parks Victoria,2008/2009,COMPLETED,Stockyard Hill Windfarm is proposed for the property north of Blacks Creek and hence will impact on the local D. impar population. Discussions have been held with the windfarm proponent and project consultant regarding mitigations measures that will have to be implemented during construction. No other threats were identified in 2008/09.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,As needed,H,DSE South West Region,Parks Victoria,2009/2010,COMPLETED,Stockyard Hill Windfarm is proposed for the property north of Blacks Creek and hence will impact on the local D. impar population. Discussions have been held with the windfarm proponent and project consultant regarding mitigations measures that will have to be implemented during construction. Documents associated with the project have been reviewed. Phalaris has been identified as a threat at the site as it is spreading throughout a number of areas. Altered grazing or spraying is required to address the threat.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,As needed,H,DSE South West Region,Parks Victoria,2010/2011,COMPLETED,Rabbits and the build up of biomass identified as threats in 2010/11. Rabbit control implemented in autumn and meeting held with PV to discuss grazing to manage biomass.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,As needed,H,DSE South West Region,Parks Victoria,2011/2012,COMPLETED,No new threats have been identified for this site.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,"Every year, or more freq.",H,DSE South West Region,Parks Victoria,2012/2013,COMPLETED,No new threates have been identified for this site. The site has been recently burnt and is looking good. Some ongoing weed control for thistles will be required and is being carried out by Parks Victoria.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,"Every year, or more freq.",H,DSE South West Region,Parks Victoria,2013/2014,NOT ENTERED,No Description Recorded,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,"Every year, or more freq.",H,DSE South West Region,Parks Victoria,2014/2015,NOT ENTERED,No Description Recorded,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,"Every year, or more freq.",H,DSE South West Region,Parks Victoria,2015/2016,NOT ENTERED,No Description Recorded,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Control introduced animals,Control rabbit population through fumigation. ,One-off: to do,One-off event,H,DSE South West Region,Parks Victoria,2010/2011,COMPLETED,Thirty six rabbit warrens fumigated through the reserve and Pindone baiting also conducted.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,"Develop, provide input to or implement park, reserve or land management plan",Incorporate management actions for D. impar and its habitat into the relevant park or reserve management plan.,One-off: to do,One-off event,H,DSE South West Region,Parks Victoria,2005/2006,COMPLETED,Comments provided to PV re. appropriate management through stock grazing. Comments also provide on draft Blacks Creek NCR Management Statement.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,"Develop, provide input to or implement park, reserve or land management plan",Incorporate management actions for D. impar and its habitat into the relevant park or reserve management plan.,Completed,N/A,H,Parks Victoria,Parks Victoria,2010/2011,COMPLETED,On site meeting held with PV to discuss and develop a plan for biomass management.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by identifying threats and implementing appropriate management actions to alleviate these threats.,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2005/2006,PARTIALLY COMPLETED,Prevent D. impar habitat loss by identifying threats and implementing appropriate management actions to alleviate these threats.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate threats ,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2006/2007,NOT DONE,Not currently required,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate threats ,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2007/2008,PARTIALLY COMPLETED,Mitigation measures will be implemented during construction of Stockyard Hill Windfarm.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate threats ,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2008/2009,COMPLETED,Mitigation measures will be implemented for the construction of Stockyard Hill Windfarm adjacent to this site. Discussions were also held with PV regarding the development of a grazing agreement with the landholder who grazes the reserve.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate threats ,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2009/2010,COMPLETED,Mitigation measures will be implemented for the construction of Stockyard Hill Windfarm adjacent to this site. Documents associated with the project have been reviewed. Phalaris has been identified as a threat at the site and altered grazing or spraying is required to address it.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate threats ,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2010/2011,COMPLETED,A meeting was held with Parks Victoria to discuss future management of Blacks Creek. Grazing arrangements have been put in place and rabbit works were implemented.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate threats ,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2011/2012,NOT NEEDED,No actions to prevent habitat loss were required at this site in 2011/2012.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate threats ,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2012/2013,NOT NEEDED,No actions to prevent habitat loss were required at this site in 2012/2013.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate threats ,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2013/2014,NOT ENTERED,No Description Recorded,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate threats ,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2014/2015,NOT ENTERED,No Description Recorded,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate threats ,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2015/2016,NOT ENTERED,No Description Recorded,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,"Every year, or more freq.",H,Parks Victoria,DSE South West Region,2005/2006,NOT DONE,Not required in 2005/06.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,"Every year, or more freq.",M,Parks Victoria,DSE South West Region,2006/2007,NOT DONE,Not required in 2006/07.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,"Every year, or more freq.",M,Parks Victoria,DSE South West Region,2007/2008,NOT NEEDED,Not required in 2007/08.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,"Every year, or more freq.",M,Parks Victoria,DSE South West Region,2008/2009,NOT NEEDED,No action required in 2008/09.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,As needed,M,Parks Victoria,DSE South West Region,2009/2010,NOT NEEDED,No action required in 2009/10.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,As needed,M,Parks Victoria,DSE South West Region,2010/2011,COMPLETED,Habitat being restored through grazing arrangements to reduce biomass and control exotics such as Phalaris. Rabbit control also implemented.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,As needed,M,Parks Victoria,DSE South West Region,2011/2012,NOT NEEDED,No action required in 2011/2012,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,As needed,M,Parks Victoria,DSE South West Region,2012/2013,NOT NEEDED,No action required in 2012/2013,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method (three grids are present at this site). Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2004/2005,COMPLETED,04/05. Monitoring conducted three times at each of the three grids in 2004/05 with no D. impars discovered. A slough was however found during rock rolling.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method (three grids are present at this site). Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2005/2006,COMPLETED,Monitoring conducted three times at two of the three grids in 2005/06 with a single D. impar discovered. The third grid was monitored at a high frequency (12 times) as part of an honours project with only two D. impar's captured.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method (three grids are present at this site). Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2006/2007,COMPLETED,Monitoring conducted four times at each of the three grids in 2006/07 with a single D. impar slough detected.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method (three grids are present at this site). Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2007/2008,COMPLETED,Monitoring conducted four times at each of the three grids in 2007/08 with two D. impar individuals and a single slough detected.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method (three grids are present at this site). Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2008/2009,COMPLETED,Each of the three grids were monitored twice during spring and once during summer. A single D. impar slough was detected and collected for genetic material. Three D. impar were detected during the tile monitoring at Black Lake just to the south of Blacks Creek NCR as part of the Stockyard Hill Windfarm flora and fauna assessments. ,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method (three grids are present at this site). Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2009/2010,COMPLETED,All three grids monitored three times this field season with no D. impar detected.,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method (three grids are present at this site). Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2010/2011,COMPLETED,Each of the three grids have been monitored three times this spring with no animals detected. ,
Biosite,Blacks Creek N.C.R.,H,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method (three grids are present at this site). Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2011/2012,COMPLETED,The site has been monitored once with no individuals detected. The site has only been monitored once this season to allow for other sites to be monitored multiple times as part of the capture-mark-recapture program. ,
